referrer,views_total,views_unique
Google,49,22
news.hada.io,20,13
github.com,9,8
Bing,9,5
screentranslate.filient.ai,5,5
chatgpt.com,4,3
search.brave.com,2,2
DuckDuckGo,2,1
youtube.com,2,1
perplexity.ai,1,1
