referrer,views_total,views_unique
Google,95,69
screentranslate.filient.ai,20,10
Bing,16,13
github.com,14,8
news.hada.io,8,5
yandex.ru,7,4
DuckDuckGo,6,3
news.ycombinator.com,3,1
chatgpt.com,2,2
Yahoo,1,1
