referrer,views_total,views_unique
news.hada.io,72,41
screentranslate.filient.ai,49,16
github.com,38,16
youtube.com,9,6
news.ycombinator.com,9,4
cafe.naver.com,8,4
Bing,8,3
DuckDuckGo,3,2
Google,2,2
chat.duoduai.com,1,1
