referrer,views_total,views_unique
Google,86,64
screentranslate.filient.ai,43,12
github.com,30,19
chatgpt.com,30,14
Bing,18,14
news.hada.io,7,4
yandex.ru,6,3
DuckDuckGo,5,2
doubao.com,3,1
claude.ai,2,1
