referrer,views_total,views_unique
github.com,26,14
Yahoo,14,1
Google,13,10
screentranslate.filient.ai,7,6
doubao.com,7,5
chatgpt.com,7,3
news.hada.io,4,3
Bing,3,3
alternativeto.net,3,1
copilot.microsoft.com,2,2
