referrer,views_total,views_unique
Google,114,77
chatgpt.com,42,23
screentranslate.filient.ai,31,8
github.com,30,16
Bing,14,5
youtube.com,4,2
search.brave.com,2,2
DuckDuckGo,1,1
Yahoo,1,1
cafe.naver.com,1,1
