referrer,views_total,views_unique
Google,131,93
chatgpt.com,34,24
github.com,30,16
screentranslate.filient.ai,19,9
Bing,12,7
news.hada.io,6,3
DuckDuckGo,2,2
youtube.com,2,1
Yahoo,1,1
cafe.naver.com,1,1
