url_path,views_total,views_unique
/hcmhcs/screenTranslate,299,177
/hcmhcs/screenTranslate/releases/tag/v1.5.2,54,47
/hcmhcs/screenTranslate/releases,16,15
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,12,11
/hcmhcs/screenTranslate/issues,10,6
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj,5,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,5,5
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,4,4
/hcmhcs/screentranslate,4,3
/hcmhcs/screenTranslate/blob/main/README.md,3,3
