referrer,views_total,views_unique
Google,121,79
chatgpt.com,35,23
github.com,23,13
screentranslate.filient.ai,20,8
Bing,14,5
youtube.com,4,2
search.brave.com,2,2
DuckDuckGo,1,1
Yahoo,1,1
cafe.naver.com,1,1
