referrer,views_total,views_unique
Google,71,45
github.com,25,14
Bing,10,7
screentranslate.filient.ai,10,6
chatgpt.com,6,3
news.hada.io,4,4
DuckDuckGo,2,2
perplexity.ai,2,1
Yahoo,1,1
erjui.github.io,1,1
