referrer,views_total,views_unique
Google,74,59
screentranslate.filient.ai,33,12
github.com,22,14
Bing,20,15
chatgpt.com,18,11
news.hada.io,9,5
DuckDuckGo,6,3
yandex.ru,6,3
doubao.com,3,1
news.ycombinator.com,3,1
