referrer,views_total,views_unique
Google,83,62
github.com,49,8
screentranslate.filient.ai,17,11
news.hada.io,5,3
Bing,4,3
chatgpt.com,3,3
DuckDuckGo,2,2
m.cafe.naver.com,1,1
