referrer,views_total,views_unique
Google,53,25
news.hada.io,18,12
github.com,8,7
Bing,8,4
screentranslate.filient.ai,6,6
DuckDuckGo,5,3
chatgpt.com,2,2
search.brave.com,2,2
cafe.naver.com,1,1
perplexity.ai,1,1
