url_path,views_total,views_unique
/hcmhcs/screenTranslate,128,102
/hcmhcs/screenTranslate/releases/tag/v1.5.2,30,29
/hcmhcs/screenTranslate/issues,6,6
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,5,3
/hcmhcs/screenTranslate/issues/1,3,3
/hcmhcs/screenTranslate/releases,3,2
/hcmhcs/screenTranslate/blob/main/scripts/extract_changelog.sh,3,1
/hcmhcs/screenTranslate/pulls,3,1
/hcmhcs/screenTranslate/blob/main/CHANGELOG.md,2,1
/hcmhcs/screenTranslate/blob/main/ScreenTranslateUITests/ScreenTranslateUITestsLaunchTests.swift,2,1
