referrer,views_total,views_unique
Google,76,50
github.com,23,11
Bing,15,9
screentranslate.filient.ai,6,5
news.hada.io,5,5
chatgpt.com,5,2
perplexity.ai,2,1
DuckDuckGo,1,1
Yahoo,1,1
cafe.naver.com,1,1
