url_path,views_total,views_unique
/hcmhcs/screenTranslate,313,198
/hcmhcs/screenTranslate/releases/tag/v1.5.2,73,63
/hcmhcs/screenTranslate/releases,14,13
/hcmhcs/screenTranslate/issues,10,6
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,9,7
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj,4,4
/hcmhcs/screentranslate,4,3
/hcmhcs/screenTranslate/issues/3,3,3
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,3,3
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,2,2
