referrer,views_total,views_unique
news.hada.io,64,34
github.com,39,12
screentranslate.filient.ai,21,10
cafe.naver.com,15,2
youtube.com,7,4
news.ycombinator.com,4,1
Bing,2,2
Google,1,1
chat.duoduai.com,1,1
chatgpt.com,1,1
