url_path,views_total,views_unique
/hcmhcs/screenTranslate,238,167
/hcmhcs/screenTranslate/releases/tag/v1.5.2,49,46
/hcmhcs/screenTranslate/releases,21,20
/hcmhcs/screenTranslate/issues,8,8
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,8,7
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,4,4
/hcmhcs/screenTranslate/pulls,3,3
/hcmhcs/screenTranslate/tree/main/scripts,3,3
/hcmhcs/screenTranslate/blob/main/README.md,2,2
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,2,2
