time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,25,10,12,8
2026-06-18 00:00:00+00:00,24,8,13,9
2026-06-19 00:00:00+00:00,32,9,4,3
2026-06-20 00:00:00+00:00,47,10,16,8
2026-06-21 00:00:00+00:00,38,10,9,5
2026-06-22 00:00:00+00:00,37,10,14,10
2026-06-23 00:00:00+00:00,3,2,21,11
2026-06-24 00:00:00+00:00,23,8,15,10
2026-06-25 00:00:00+00:00,48,17,9,5
2026-06-26 00:00:00+00:00,24,10,14,8
2026-06-27 00:00:00+00:00,6,5,27,14
2026-06-28 00:00:00+00:00,22,8,14,7
2026-06-29 00:00:00+00:00,14,8,19,11
2026-06-30 00:00:00+00:00,14,7,13,10
