time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-11 00:00:00+00:00,27,9,13,9
2026-05-12 00:00:00+00:00,8,4,11,9
2026-05-13 00:00:00+00:00,45,11,30,12
2026-05-14 00:00:00+00:00,28,8,4,4
2026-05-15 00:00:00+00:00,13,7,10,7
2026-05-16 00:00:00+00:00,23,14,22,11
2026-05-17 00:00:00+00:00,13,7,33,15
2026-05-18 00:00:00+00:00,23,9,6,6
2026-05-19 00:00:00+00:00,7,6,7,7
2026-05-20 00:00:00+00:00,12,6,10,9
2026-05-21 00:00:00+00:00,28,11,17,10
2026-05-22 00:00:00+00:00,23,7,10,6
2026-05-23 00:00:00+00:00,13,8,10,7
2026-05-24 00:00:00+00:00,19,8,17,9
