referrer,views_total,views_unique
Google,95,66
screentranslate.filient.ai,18,8
github.com,13,7
Bing,10,8
DuckDuckGo,10,5
news.hada.io,8,5
chatgpt.com,3,3
youtube.com,3,2
news.ycombinator.com,3,1
Yahoo,1,1
