url_path,views_total,views_unique
/hcmhcs/screenTranslate,179,141
/hcmhcs/screenTranslate/releases/tag/v1.5.2,53,40
/hcmhcs/screenTranslate/issues,11,11
/hcmhcs/screenTranslate/releases,11,8
/hcmhcs/screenTranslate/pulls,4,4
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,4
/hcmhcs/screenTranslate/commits/main,2,2
/hcmhcs/screenTranslate/blob/02be4ccf50329215e91f229a5fbc7d7de3c7de72/hcmhcs/screenTranslate/latest-report/report.pdf,2,1
/hcmhcs/screenTranslate/branches,2,1
/hcmhcs/screenTranslate/commit/02be4ccf50329215e91f229a5fbc7d7de3c7de72,2,1
