referrer,views_total,views_unique
Google,142,98
github.com,67,16
chatgpt.com,45,31
screentranslate.filient.ai,37,12
Bing,8,6
news.hada.io,7,4
youtube.com,4,3
DuckDuckGo,3,3
doubao.com,1,1
facebook.com,1,1
