referrer,views_total,views_unique
Google,59,29
news.hada.io,22,12
github.com,13,12
youtube.com,8,3
screentranslate.filient.ai,6,5
Bing,6,4
chatgpt.com,4,4
DuckDuckGo,3,2
cafe.naver.com,1,1
m.cafe.naver.com,1,1
