referrer,views_total,views_unique
Google,130,93
chatgpt.com,47,31
github.com,45,16
screentranslate.filient.ai,16,9
Bing,7,6
news.hada.io,5,4
DuckDuckGo,2,2
youtube.com,2,2
Yahoo,1,1
hn.algolia.com,1,1
