referrer,views_total,views_unique
Google,36,25
github.com,14,10
screentranslate.filient.ai,9,9
news.hada.io,9,8
chatgpt.com,7,5
Bing,5,3
DuckDuckGo,3,2
search.brave.com,2,2
youtube.com,2,1
cafe.naver.com,1,1
