referrer,views_total,views_unique
Google,69,44
github.com,14,11
screentranslate.filient.ai,10,5
youtube.com,8,3
chatgpt.com,3,3
news.hada.io,3,3
DuckDuckGo,2,2
perplexity.ai,2,1
Bing,1,1
m.cafe.naver.com,1,1
