time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,4,3,39,29
2026-09-04 00:00:00+00:00,9,8,33,19
2026-09-05 00:00:00+00:00,32,15,57,33
2026-09-06 00:00:00+00:00,6,5,42,27
2026-09-07 00:00:00+00:00,16,7,73,27
2026-09-08 00:00:00+00:00,13,9,36,22
2026-09-09 00:00:00+00:00,13,10,85,26
2026-09-10 00:00:00+00:00,25,17,143,21
2026-09-11 00:00:00+00:00,32,25,53,23
2026-09-12 00:00:00+00:00,27,15,34,16
2026-09-13 00:00:00+00:00,7,6,39,18
2026-09-14 00:00:00+00:00,4,3,62,24
2026-09-15 00:00:00+00:00,11,8,52,19
2026-09-16 00:00:00+00:00,8,7,71,27
