referrer,views_total,views_unique
github.com,41,14
Google,20,16
news.hada.io,6,6
screentranslate.filient.ai,6,5
Bing,5,4
DuckDuckGo,4,4
chatgpt.com,4,3
youtube.com,4,2
news.ycombinator.com,3,1
doubao.com,2,2
