referrer,views_total,views_unique
Google,71,56
github.com,29,13
Bing,8,5
news.hada.io,7,7
screentranslate.filient.ai,6,5
chatgpt.com,3,3
DuckDuckGo,2,2
Yahoo,2,1
cafe.naver.com,1,1
