referrer,views_total,views_unique
Google,68,46
github.com,16,12
screentranslate.filient.ai,9,5
youtube.com,8,3
chatgpt.com,3,3
DuckDuckGo,2,2
news.hada.io,2,2
perplexity.ai,2,1
Bing,1,1
news.ycombinator.com,1,1
