time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,24,7,10,8
2026-06-10 00:00:00+00:00,24,7,14,8
2026-06-11 00:00:00+00:00,19,6,9,7
2026-06-12 00:00:00+00:00,27,9,20,8
2026-06-13 00:00:00+00:00,30,11,10,9
2026-06-14 00:00:00+00:00,45,13,22,15
2026-06-15 00:00:00+00:00,39,10,18,13
2026-06-16 00:00:00+00:00,24,8,8,7
2026-06-17 00:00:00+00:00,25,10,12,8
2026-06-18 00:00:00+00:00,24,8,13,9
2026-06-19 00:00:00+00:00,32,9,4,3
2026-06-20 00:00:00+00:00,47,10,16,8
2026-06-21 00:00:00+00:00,38,10,9,5
2026-06-22 00:00:00+00:00,37,10,14,10
