referrer,views_total,views_unique
Google,65,44
news.hada.io,13,8
github.com,10,8
screentranslate.filient.ai,10,6
youtube.com,9,4
chatgpt.com,4,4
Bing,4,3
DuckDuckGo,4,3
cafe.naver.com,1,1
m.cafe.naver.com,1,1
