referrer,views_total,views_unique
Google,73,57
github.com,48,9
screentranslate.filient.ai,13,8
news.hada.io,7,7
Bing,7,5
chatgpt.com,3,3
DuckDuckGo,2,2
m.cafe.naver.com,1,1
