time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-19 00:00:00+00:00,8,7,35,13
2026-08-20 00:00:00+00:00,16,7,29,16
2026-08-21 00:00:00+00:00,11,3,21,15
2026-08-22 00:00:00+00:00,5,4,41,17
2026-08-23 00:00:00+00:00,3,2,18,14
2026-08-24 00:00:00+00:00,20,12,34,18
2026-08-25 00:00:00+00:00,4,3,25,14
2026-08-26 00:00:00+00:00,5,4,72,24
2026-08-27 00:00:00+00:00,5,4,42,22
2026-08-28 00:00:00+00:00,3,2,27,15
2026-08-29 00:00:00+00:00,6,5,16,10
2026-08-30 00:00:00+00:00,6,5,48,22
2026-08-31 00:00:00+00:00,10,8,27,15
2026-09-01 00:00:00+00:00,12,5,37,16
