referrer,views_total,views_unique
github.com,21,10
Yahoo,14,1
Google,8,7
screentranslate.filient.ai,7,6
doubao.com,6,4
chatgpt.com,6,2
news.hada.io,5,4
Bing,4,4
cafe.naver.com,3,2
alternativeto.net,3,1
