referrer,views_total,views_unique
Google,74,59
screentranslate.filient.ai,30,13
github.com,20,13
Bing,15,12
chatgpt.com,10,7
yandex.ru,6,3
news.hada.io,5,4
DuckDuckGo,3,2
doubao.com,3,1
news.ycombinator.com,3,1
