referrer,views_total,views_unique
Google,49,24
news.hada.io,15,10
github.com,11,10
chatgpt.com,7,5
Bing,6,3
screentranslate.filient.ai,5,5
search.brave.com,3,3
perplexity.ai,2,2
DuckDuckGo,2,1
youtube.com,2,1
