referrer,views_total,views_unique
Google,148,104
github.com,64,15
chatgpt.com,49,33
screentranslate.filient.ai,39,13
Bing,8,6
news.hada.io,7,4
youtube.com,5,4
DuckDuckGo,3,3
doubao.com,1,1
facebook.com,1,1
