referrer,views_total,views_unique
Google,44,28
github.com,18,14
news.hada.io,10,9
screentranslate.filient.ai,9,9
chatgpt.com,7,5
DuckDuckGo,5,4
Bing,4,3
m.cafe.naver.com,2,2
search.brave.com,2,2
youtube.com,2,1
