referrer,views_total,views_unique
Google,47,29
github.com,15,11
screentranslate.filient.ai,9,9
news.hada.io,9,8
chatgpt.com,7,5
Bing,5,3
DuckDuckGo,4,3
m.cafe.naver.com,2,2
search.brave.com,2,2
youtube.com,2,1
