referrer,views_total,views_unique
Google,98,68
github.com,17,7
screentranslate.filient.ai,16,7
Bing,10,8
DuckDuckGo,10,5
news.hada.io,7,4
chatgpt.com,3,3
youtube.com,3,2
news.ycombinator.com,3,1
cafe.naver.com,1,1
