url_path,views_total,views_unique
/hcmhcs/screenTranslate,176,134
/hcmhcs/screenTranslate/releases/tag/v1.5.2,52,39
/hcmhcs/screenTranslate/releases,12,9
/hcmhcs/screenTranslate/issues,10,10
/hcmhcs/screenTranslate/pulls,5,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,4
/hcmhcs/screenTranslate/commits/main,2,2
/hcmhcs/screenTranslate/blob/02be4ccf50329215e91f229a5fbc7d7de3c7de72/hcmhcs/screenTranslate/latest-report/report.pdf,2,1
/hcmhcs/screenTranslate/branches,2,1
/hcmhcs/screenTranslate/commit/02be4ccf50329215e91f229a5fbc7d7de3c7de72,2,1
