url_path,views_total,views_unique
/hcmhcs/screenTranslate,185,144
/hcmhcs/screenTranslate/releases/tag/v1.5.2,44,34
/hcmhcs/screenTranslate/releases,14,11
/hcmhcs/screenTranslate/issues,11,11
/hcmhcs/screenTranslate/pulls,5,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,4
/hcmhcs/screenTranslate/tags,3,2
/hcmhcs/screenTranslate/commits/main,2,2
/hcmhcs/screenTranslate/blob/02be4ccf50329215e91f229a5fbc7d7de3c7de72/hcmhcs/screenTranslate/latest-report/report.pdf,2,1
/hcmhcs/screenTranslate/branches,2,1
