referrer,views_total,views_unique
Google,124,93
chatgpt.com,42,29
github.com,21,16
screentranslate.filient.ai,11,8
Bing,7,6
news.hada.io,7,5
youtube.com,3,2
DuckDuckGo,1,1
Yahoo,1,1
hn.algolia.com,1,1
