url_path,views_total,views_unique
/hcmhcs/screenTranslate,166,127
/hcmhcs/screenTranslate/releases/tag/v1.5.2,52,39
/hcmhcs/screenTranslate/releases,12,9
/hcmhcs/screenTranslate/issues,7,7
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,4
/hcmhcs/screenTranslate/pulls,3,3
/hcmhcs/screenTranslate/tree/v1.5.2,3,1
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,2,2
/hcmhcs/screenTranslate/blob/02be4ccf50329215e91f229a5fbc7d7de3c7de72/hcmhcs/screenTranslate/latest-report/report.pdf,2,1
/hcmhcs/screenTranslate/branches,2,1
