time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,13,7,33,15
2026-05-18 00:00:00+00:00,23,9,6,6
2026-05-19 00:00:00+00:00,7,6,7,7
2026-05-20 00:00:00+00:00,12,6,10,9
2026-05-21 00:00:00+00:00,28,11,17,10
2026-05-22 00:00:00+00:00,23,7,10,6
2026-05-23 00:00:00+00:00,13,8,10,7
2026-05-24 00:00:00+00:00,19,8,17,9
2026-05-25 00:00:00+00:00,21,10,7,5
2026-05-26 00:00:00+00:00,13,6,7,5
2026-05-27 00:00:00+00:00,18,10,3,3
2026-05-28 00:00:00+00:00,21,7,18,10
2026-05-29 00:00:00+00:00,31,12,8,7
2026-05-30 00:00:00+00:00,37,14,52,9
