referrer,views_total,views_unique
github.com,17,10
Yahoo,14,1
screentranslate.filient.ai,9,8
chatgpt.com,9,4
Google,8,7
Bing,6,5
doubao.com,6,4
news.hada.io,4,3
copilot.microsoft.com,3,3
DuckDuckGo,3,2
