url_path,views_total,views_unique
/hcmhcs/screenTranslate,171,131
/hcmhcs/screenTranslate/releases/tag/v1.5.2,52,39
/hcmhcs/screenTranslate/releases,12,9
/hcmhcs/screenTranslate/issues,9,9
/hcmhcs/screenTranslate/pulls,4,4
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,4
/hcmhcs/screenTranslate/tree/v1.5.2,3,1
/hcmhcs/screenTranslate/commits/main,2,2
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,2,2
/hcmhcs/screenTranslate/blob/02be4ccf50329215e91f229a5fbc7d7de3c7de72/hcmhcs/screenTranslate/latest-report/report.pdf,2,1
