time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,32,19,19,5
2026-04-26 00:00:00+00:00,44,10,10,6
2026-04-27 00:00:00+00:00,35,14,14,9
2026-04-28 00:00:00+00:00,26,9,14,11
2026-04-29 00:00:00+00:00,40,10,22,5
2026-04-30 00:00:00+00:00,23,10,8,7
2026-05-01 00:00:00+00:00,31,9,27,13
2026-05-02 00:00:00+00:00,31,9,8,6
2026-05-03 00:00:00+00:00,38,12,22,6
2026-05-04 00:00:00+00:00,8,6,13,10
2026-05-05 00:00:00+00:00,39,9,12,8
2026-05-06 00:00:00+00:00,27,8,16,6
2026-05-07 00:00:00+00:00,23,8,17,8
2026-05-08 00:00:00+00:00,17,9,8,7
