url_path,views_total,views_unique
/hcmhcs/screenTranslate,143,113
/hcmhcs/screenTranslate/releases/tag/v1.5.2,39,33
/hcmhcs/screenTranslate/releases,11,8
/hcmhcs/screenTranslate/issues,8,8
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,4,3
/hcmhcs/screenTranslate/issues/1,3,3
/hcmhcs/screenTranslate/pulls,3,2
/hcmhcs/screenTranslate/blob/main/scripts/extract_changelog.sh,3,1
/hcmhcs/screenTranslate/tree/v1.5.2,3,1
/hcmhcs/screenTranslate/blob/02be4ccf50329215e91f229a5fbc7d7de3c7de72/hcmhcs/screenTranslate/latest-report/report.pdf,2,1
