referrer,views_total,views_unique
github.com,33,11
Google,17,14
news.hada.io,17,10
screentranslate.filient.ai,10,9
Bing,7,5
chatgpt.com,6,4
youtube.com,5,3
DuckDuckGo,3,3
news.ycombinator.com,3,1
doubao.com,2,2
