referrer,views_total,views_unique
github.com,24,9
screentranslate.filient.ai,14,10
Yahoo,14,1
Google,8,7
Bing,7,6
cafe.naver.com,5,4
news.hada.io,5,4
doubao.com,5,3
chatgpt.com,4,3
DuckDuckGo,3,2
