referrer,views_total,views_unique
github.com,50,9
screentranslate.filient.ai,18,11
cafe.naver.com,11,4
news.hada.io,7,6
Bing,6,5
Google,3,3
DuckDuckGo,3,2
chatgpt.com,3,2
qwant.com,3,2
youtube.com,2,2
