referrer,views_total,views_unique
Google,74,46
github.com,25,14
Bing,15,9
screentranslate.filient.ai,7,6
news.hada.io,5,5
chatgpt.com,5,2
DuckDuckGo,2,2
perplexity.ai,2,1
Yahoo,1,1
erjui.github.io,1,1
