referrer,views_total,views_unique
Google,74,50
github.com,33,13
Bing,15,9
chatgpt.com,6,3
news.hada.io,5,5
screentranslate.filient.ai,4,4
Yahoo,3,2
DuckDuckGo,1,1
cafe.naver.com,1,1
erjui.github.io,1,1
