referrer,views_total,views_unique
Google,67,46
github.com,13,11
screentranslate.filient.ai,11,7
news.hada.io,10,6
youtube.com,9,4
chatgpt.com,4,4
DuckDuckGo,4,3
Bing,1,1
cafe.naver.com,1,1
m.cafe.naver.com,1,1
