referrer,views_total,views_unique
Google,48,21
news.hada.io,18,12
github.com,10,9
Bing,9,5
chatgpt.com,6,4
screentranslate.filient.ai,5,5
search.brave.com,2,2
DuckDuckGo,2,1
youtube.com,2,1
m.cafe.naver.com,1,1
