referrer,views_total,views_unique
Google,146,102
github.com,47,19
chatgpt.com,38,29
screentranslate.filient.ai,33,10
Bing,8,6
news.hada.io,7,4
DuckDuckGo,3,3
youtube.com,3,2
cafe.naver.com,1,1
doubao.com,1,1
