url_path,views_total,views_unique
/hcmhcs/screenTranslate,315,189
/hcmhcs/screenTranslate/releases/tag/v1.5.2,58,52
/hcmhcs/screenTranslate/releases,17,16
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,11,10
/hcmhcs/screenTranslate/issues,10,6
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,5,5
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,4,4
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj,4,4
/hcmhcs/screentranslate,4,3
/hcmhcs/screenTranslate/blob/main/README.md,3,3
