referrer,views_total,views_unique
github.com,55,9
news.hada.io,27,17
screentranslate.filient.ai,26,10
cafe.naver.com,15,3
youtube.com,6,4
Bing,3,3
chatgpt.com,2,2
Google,1,1
hcmhcs.github.io,1,1
qwant.com,1,1
