referrer,views_total,views_unique
Google,44,26
github.com,19,13
screentranslate.filient.ai,16,11
news.hada.io,13,10
Bing,4,3
chatgpt.com,4,3
DuckDuckGo,3,3
cafe.naver.com,2,2
doubao.com,1,1
m.cafe.naver.com,1,1
