referrer,views_total,views_unique
github.com,36,6
screentranslate.filient.ai,18,11
cafe.naver.com,10,5
news.hada.io,8,6
Google,5,5
Bing,5,4
doubao.com,5,3
chatgpt.com,4,3
DuckDuckGo,3,2
qwant.com,3,2
