url_path,views_total,views_unique
/hcmhcs/screenTranslate,309,187
/hcmhcs/screenTranslate/releases/tag/v1.5.2,59,53
/hcmhcs/screenTranslate/releases,19,18
/hcmhcs/screenTranslate/issues,11,7
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,10,9
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,5,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj,4,4
/hcmhcs/screenTranslate/blob/main/ScreenTranslate/App/AppOrchestrator.swift,3,3
/hcmhcs/screenTranslate/pulls,3,3
/hcmhcs/screenTranslate/tree/main/ScreenTranslate.xcodeproj/project.xcworkspace,3,3
